# metricName                                                  jobName
container_cpu_usage_seconds_total                             k8s-cadvisor-default
container_spec_cpu_period                                     k8s-cadvisor-default
kyverno_admission_review_duration_seconds_bucket              k8s-pods
grpc_server_handled_total                                     k8s-pods
fluentd_output_status_slow_flush_count                        openshift-fluentd-default
erlang_vm_allocators                                          k8s-pods
jvm_memory_pool_bytes_init                                    k8s-pods
jvm_memory_pool_allocated_bytes_created                       k8s-pods
jvm_memory_pool_bytes_used                                    k8s-pods
jvm_memory_pool_bytes_max                                     k8s-pods
jvm_memory_pool_bytes_max                                     k8s-pods
jvm_memory_pool_allocated_bytes_total                         k8s-pods
jvm_memory_pool_bytes_committed                               k8s-pods
java_lang_PS_Scavenge_LastGcInfo_memoryUsageBeforeGc_init     k8s-pods
java_lang_PS_Scavenge_LastGcInfo_memoryUsageAfterGc_max       k8s-pods
java_lang_PS_Scavenge_LastGcInfo_memoryUsageAfterGc_committed k8s-pods
java_lang_PS_Scavenge_LastGcInfo_memoryUsageBeforeGc_used     k8s-pods
java_lang_PS_Scavenge_LastGcInfo_memoryUsageAfterGc_used      k8s-pods
java_lang_PS_Scavenge_LastGcInfo_memoryUsageBeforeGc_max      k8s-pods
java_lang_PS_Scavenge_LastGcInfo_memoryUsageAfterGc_init      k8s-pods
java_lang_PS_Scavenge_LastGcInfo_memoryUsageBeforeGc_committed k8s-pods
java_lang_PS_MarkSweep_LastGcInfo_memoryUsageAfterGc_committed k8s-pods
java_lang_PS_MarkSweep_LastGcInfo_memoryUsageBeforeGc_init    k8s-pods
java_lang_PS_MarkSweep_LastGcInfo_memoryUsageBeforeGc_committed k8s-pods
java_lang_PS_MarkSweep_LastGcInfo_memoryUsageAfterGc_max      k8s-pods
java_lang_PS_MarkSweep_LastGcInfo_memoryUsageBeforeGc_max     k8s-pods
java_lang_PS_MarkSweep_LastGcInfo_memoryUsageBeforeGc_used    k8s-pods
java_lang_PS_MarkSweep_LastGcInfo_memoryUsageAfterGc_used     k8s-pods
jvm_threads_state                                             k8s-pods
redis_commands_latencies_usec_bucket                          redis-default
fluentd_output_status_retry_count                             openshift-fluentd-default
fluentd_output_status_num_errors                              openshift-fluentd-default
spring_data_repository_invocations_seconds_count              k8s-pods
spring_data_repository_invocations_seconds_max                k8s-pods
spring_data_repository_invocations_seconds_count              k8s-pods
workqueue_work_duration_seconds_bucket                        k8s-pods
workqueue_queue_duration_seconds_bucket                       k8s-pods
container_cpu_cfs_periods_total                               k8s-cadvisor-default
container_cpu_cfs_throttled_seconds_total                     k8s-cadvisor-default
container_cpu_cfs_throttled_periods_total                     k8s-cadvisor-default
coredns_forward_request_duration_seconds_bucket               openshift-dns-default
kyverno_client_queries_total                                  k8s-pods
kyverno_admission_review_duration_seconds_count               k8s-pods
kyverno_admission_requests_total                              k8s-pods
caddy_http_request_duration_seconds_bucket                    k8s-pods
http_request_duration_seconds_bucket                          k8s-pods
method_observed_active_seconds_bucket                         k8s-pods
http_client_requests_seconds_bucket                           k8s-pods
http_server_requests_seconds_bucket                           k8s-pods
caddy_http_response_duration_seconds_bucket                   k8s-pods
resilience4j_circuitbreaker_calls_seconds_bucket              k8s-pods
caddy_http_response_size_bytes_bucket                         k8s-pods
caddy_http_request_size_bytes_bucket                          k8s-pods
coredns_dns_request_size_bytes_bucket                         openshift-dns-default
coredns_dns_request_size_bytes_bucket                         openshift-dns-default
coredns_dns_request_duration_seconds_bucket                   openshift-dns-default
fluentd_output_status_emit_count                              openshift-fluentd-default
fluentd_output_status_rollback_count                          openshift-fluentd-default
fluentd_output_status_flush_time_count                        openshift-fluentd-default
fluentd_output_status_emit_records                            openshift-fluentd-default
fluentd_output_status_retry_wait                              openshift-fluentd-default
spring_data_repository_invocations_seconds_sum                k8s-pods
kyverno_policy_results_total                                  k8s-pods
ccp_table_size_size_bytes                                     k8s-pods
spring_data_repository_invocations_seconds_bucket             k8s-pods
http_server_request_duration_s_bucket                         k8s-pods
microsoft_aspnetcore_hosting_http_server_request_duration_bucket k8s-pods
argocd_git_request_duration_seconds_bucket                    k8s-pods
dns_lookup_duration_s_bucket                                         k8s-pods
grpc_server_msg_received_total                                       k8s-pods

java_lang_ZGC_Major_Cycles_LastGcInfo_memoryUsageAfterGc_committed   k8s-pods
java_lang_ZGC_Major_Cycles_LastGcInfo_memoryUsageAfterGc_init        k8s-pods
java_lang_ZGC_Major_Cycles_LastGcInfo_memoryUsageAfterGc_max         k8s-pods
java_lang_ZGC_Major_Cycles_LastGcInfo_memoryUsageAfterGc_used        k8s-pods
java_lang_ZGC_Major_Cycles_LastGcInfo_memoryUsageBeforeGc_committed  k8s-pods
java_lang_ZGC_Major_Cycles_LastGcInfo_memoryUsageBeforeGc_init       k8s-pods
java_lang_ZGC_Major_Cycles_LastGcInfo_memoryUsageBeforeGc_max        k8s-pods
java_lang_ZGC_Major_Cycles_LastGcInfo_memoryUsageBeforeGc_used       k8s-pods

java_lang_ZGC_Minor_Cycles_LastGcInfo_memoryUsageAfterGc_committed   k8s-pods
java_lang_ZGC_Minor_Cycles_LastGcInfo_memoryUsageAfterGc_init        k8s-pods
java_lang_ZGC_Minor_Cycles_LastGcInfo_memoryUsageAfterGc_max         k8s-pods
java_lang_ZGC_Minor_Cycles_LastGcInfo_memoryUsageAfterGc_used        k8s-pods
java_lang_ZGC_Minor_Cycles_LastGcInfo_memoryUsageBeforeGc_committed  k8s-pods
java_lang_ZGC_Minor_Cycles_LastGcInfo_memoryUsageBeforeGc_init       k8s-pods
java_lang_ZGC_Minor_Cycles_LastGcInfo_memoryUsageBeforeGc_max        k8s-pods
java_lang_ZGC_Minor_Cycles_LastGcInfo_memoryUsageBeforeGc_used       k8s-pods

java_lang_ZGC_Major_Pauses_LastGcInfo_memoryUsageAfterGc_committed   k8s-pods
java_lang_ZGC_Major_Pauses_LastGcInfo_memoryUsageAfterGc_init        k8s-pods
java_lang_ZGC_Major_Pauses_LastGcInfo_memoryUsageAfterGc_max         k8s-pods
java_lang_ZGC_Major_Pauses_LastGcInfo_memoryUsageAfterGc_used        k8s-pods
java_lang_ZGC_Major_Pauses_LastGcInfo_memoryUsageBeforeGc_committed  k8s-pods
java_lang_ZGC_Major_Pauses_LastGcInfo_memoryUsageBeforeGc_init       k8s-pods
java_lang_ZGC_Major_Pauses_LastGcInfo_memoryUsageBeforeGc_max        k8s-pods
java_lang_ZGC_Major_Pauses_LastGcInfo_memoryUsageBeforeGc_used       k8s-pods

java_lang_ZGC_Minor_Pauses_LastGcInfo_memoryUsageAfterGc_committed   k8s-pods
java_lang_ZGC_Minor_Pauses_LastGcInfo_memoryUsageAfterGc_init        k8s-pods
java_lang_ZGC_Minor_Pauses_LastGcInfo_memoryUsageAfterGc_max         k8s-pods
java_lang_ZGC_Minor_Pauses_LastGcInfo_memoryUsageAfterGc_used        k8s-pods
java_lang_ZGC_Minor_Pauses_LastGcInfo_memoryUsageBeforeGc_committed  k8s-pods
java_lang_ZGC_Minor_Pauses_LastGcInfo_memoryUsageBeforeGc_init       k8s-pods
java_lang_ZGC_Minor_Pauses_LastGcInfo_memoryUsageBeforeGc_max        k8s-pods
java_lang_ZGC_Minor_Pauses_LastGcInfo_memoryUsageBeforeGc_used       k8s-pods

method_observed_seconds_bucket                                       k8s-pods
redis_commands_latencies_usec_bucket                                 k8s-pods
system_net_http_http_client_request_duration_bucket                  k8s-pods
system_net_nameresolution_dns_lookup_duration_bucket                 k8s-pods
